scenario,equity_irr,project_irr,equity_npv,project_npv,dscr_min,llcr_min,plcr_min
8507,0.18816430602130874,0.12225257425621638,21691482.57006128,21602264.94394277,1.3,1.8098064943514183,1.8098064943514183
8508,0.22455430770288332,0.13830876308732942,25847060.042817127,28033218.459791627,1.3,2.023465792662872,2.023465792662872
8509,0.1698310988596139,0.11411641416993867,14638788.668300396,12980848.608739931,1.2999999999999998,1.7027051435175222,1.7027051435175222
8510,0.22138793588657246,0.13721064931518012,33630993.880506694,36437391.78634367,1.3,2.015266746476063,2.015266746476063
8511,0.20785240932296234,0.13095888215871065,28160154.135959893,29708459.378340002,1.3,1.9255288421699297,1.9255288421699297
8512,0.11975366176062141,0.09272841453671021,-65718.51617475715,-7030830.552197025,1.3,1.4191967242041326,1.4191967242041326
8513,0.23819986500973522,0.143983565939527,33256474.13010454,36525834.89515776,1.3,2.095280001538095,2.095280001538095
8514,0.18451854721442218,0.12074618940134063,18578311.241525546,18258349.449000034,1.3,1.7933089689076285,1.7933089689076285
8515,0.1764067783494896,0.11700919796667031,16660683.857993953,15572581.30495284,1.3,1.740572266929842,1.740572266929842
8516,0.20390181138470176,0.12930988917821828,23613638.955058564,24732460.321422335,1.2999999999999998,1.906045597355844,1.906045597355844
8517,0.16246823572460034,0.11076899310467114,12931163.0234154,10428112.135075158,1.3,1.6570396515256975,1.6570396515256975
8518,0.08326217145254189,0.06668898464915984,-9435693.707149234,-31644725.051642485,1.3,0.16272313239645603,0.16272313239645603
8519,0.15836895384085503,0.1089893326539253,11452275.841209648,8598863.618302172,1.2999999999999998,1.6341086513260008,1.6341086513260008
8520,0.14505584065139865,0.10311842963996876,7287263.861250225,3010951.9661943046,1.2999999999999998,1.5548793945278019,1.5548793945278019
8521,0.23340340937303816,0.142087543504698,31825383.11782194,34845147.40294375,1.3,2.0738977908258343,2.0738977908258343
8522,0.186669140696478,0.12175754908889869,21080781.999409653,20947486.449735902,1.3,1.8078431144707117,1.8078431144707117
8523,0.2618706472592205,0.15404189322449846,40896361.321086064,45680337.6064994,1.3,2.2289828407483023,2.2289828407483023
8524,0.13500491630364886,0.09896279637117078,4160558.2878879914,-979818.641418736,1.2999999999999998,1.5035824046118764,1.5035824046118764
8525,0.2205260547126624,0.1366960167404041,30832809.342911217,33315295.235116616,1.3,2.004609752221162,2.004609752221162
8526,0.2299090160168904,0.1406202204093825,35007685.53309103,38204038.17925649,1.3,2.054971819655207,2.054971819655207
8527,0.21955936297099266,0.1362521685069602,28001845.07183259,30207736.486823853,1.2999999999999998,1.9980897984352584,1.9980897984352584
8528,0.18989327547274337,0.12308825901704235,19265471.826154567,19348761.6607398,1.3,1.822244170374632,1.822244170374632
8529,0.20352670861949163,0.12888472469200152,19362756.484568946,20178331.472222023,1.3,1.8938280292231768,1.8938280292231768
8530,0.25034265890325913,0.1495921346364506,35855335.90994871,39887107.2907048,1.3,2.180461712737605,2.180461712737605
8531,0.16923161020449884,0.11400175238611654,15315948.05983362,13594193.945961779,1.3,1.7053091579837911,1.7053091579837911
8532,0.22817769332600957,0.13987751617560273,32785957.7377057,35712593.7166089,1.2999999999999998,2.044974573765286,2.044974573765286
8533,0.11252880405761134,0.08987953059938847,-1905299.8483817333,-9765268.61203296,1.2999999999999998,1.377393599690832,1.377393599690832
8534,0.25099696744373867,0.14994570291248333,40016185.0384086,44558856.719041854,1.3,2.1870511122683545,2.1870511122683545
8535,0.15950449397848,0.10966236265153384,11134897.195950532,8661438.061026419,1.3,1.6478331536072472,1.6478331536072472
8536,0.16989557146338896,0.11427622018507155,15639711.750411749,13957632.15989877,1.3,1.7082505441156663,1.7082505441156663
8537,0.13264272685806322,0.09796134034695592,3185347.66197669,-1765561.08900473,1.3,1.489686898927507,1.489686898927507
8538,0.2107709492791352,0.13245408173773354,29154306.262997787,31024773.208259672,1.3,1.9505147887908827,1.9505147887908827
8539,0.20074291619624174,0.1280458626990737,26319542.781233806,27416312.379075374,1.3,1.892499869886117,1.892499869886117
8540,0.2535704759963995,0.1507248852737586,39094593.42401499,43508655.360740036,1.3,2.189191197192651,2.189191197192651
8541,0.12480845740501167,0.09474304340171646,1267563.257811524,-4910586.191219822,1.2999999999999998,1.4466199881185324,1.4466199881185324
